Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"95,970,007",,"1,068,843 ",,"91,419,363",,"3,481,801","3,992","1,099,287,365", 
India,"44,398,696",,"527,597 ",,"43,783,788",,"87,311",698,"884,339,045","1,409,125,225 "
France,"34,446,854",,"153,857 ",,"33,899,183",,"393,814",869,"271,490,188","65,583,425 "
Brazil,"34,368,909",,"683,464 ",,"33,360,772",,"324,673","8,318","63,776,166","215,802,191 "
Germany,"32,041,348",,"147,104 ",,"31,047,000","+18,200","847,244","1,406","122,332,384","84,358,806 "
UK,"23,492,875",,"187,761 ",,"23,162,780","+7,272","142,334",146,"522,526,476","68,651,290 "
S. Korea,"22,898,523","+95,538","26,499 ",+86,"20,667,826","+149,738","2,204,198",579,"15,804,065","51,363,852 "
Italy,"21,767,060",,"175,226 ",,"20,894,012",,"697,822",231,"241,702,579","60,271,102 "
Russia,"19,359,066","+47,093","384,000 ",+90,"18,467,738","+32,642","507,328","2,300","273,400,000","146,068,717 "
Japan,"18,180,425","+196,628","38,522 ",+325,"16,075,067","+213,161","2,066,836",624,"70,386,371","125,645,954 "
Turkey,"16,671,848",,"100,400 ",,N/A,N/A,N/A,975,"162,743,369","86,286,984 "
Spain,"13,332,976",,"112,454 ",,"13,092,617",,"127,905",339,"471,036,328","46,793,632 "
Vietnam,"11,401,597","+2,197","43,111 ",+1,"10,140,204","+13,939","1,218,282",161,"85,826,548","99,218,332 "
Australia,"9,987,913","+11,326","13,734 ",+86,"9,831,349",,"142,830",97,"78,050,906","26,134,942 "
Argentina,"9,658,391",,"129,646 ",,"9,454,789","+6,032","73,956",456,"35,716,069","46,085,905 "
Netherlands,"8,381,009",,"22,594 ",,"8,301,803",,"56,612",43,"21,107,399","17,216,222 "
Iran,"7,521,969",+976,"143,684 ",+37,"7,277,658","+6,634","100,627","1,171","53,730,223","86,300,570 "
Mexico,"7,007,741","+6,151","329,338 ",+49,"6,250,538","+6,546","427,865","4,798","18,127,231","131,840,286 "
Indonesia,"6,343,076","+4,170","157,493 ",+15,"6,137,394","+2,514","48,189","2,771","106,406,169","279,731,683 "
